Kabupaten/Kota,Tahun,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
Simeulue,2018,13146.54,10633.01,1499.02,987.21,27.3,0.0
Aceh Singkil,2018,21707.28,17938.54,2736.89,965.18,58.27,8.4
Aceh Selatan,2018,15533.35,11489.49,3083.3,760.26,126.12,74.18
Aceh Tenggara,2018,20625.24,15432.68,3712.36,1368.46,38.42,73.32
Aceh Timur,2018,22081.74,12144.83,3931.83,5949.88,55.19,0.0
Aceh Tengah,2018,20377.16,15071.83,4194.94,978.69,101.61,30.09
Aceh Barat,2018,25505.96,19113.59,4682.12,974.5,563.55,172.2
Aceh Besar,2018,14103.41,7581.54,4357.1,2013.92,94.63,56.21
Pidie,2018,13952.27,8058.75,3324.17,2540.08,24.35,4.91
Bireuen,2018,16344.04,11892.86,4057.31,321.77,62.05,10.04
Aceh Utara,2018,16490.66,10908.39,4216.73,1256.73,51.95,56.86
Aceh Barat Daya,2018,14182.76,9320.2,3947.15,472.11,342.0,101.29
Gayo Lues,2018,19087.3,13822.79,4126.26,630.17,176.07,332.01
Aceh Tamiang,2018,13199.57,10633.62,1454.85,1084.71,26.4,0.0
Nagan Raya,2018,20101.97,12240.14,3196.91,4029.56,526.77,108.58
Aceh Jaya,2018,28189.83,17751.08,6666.67,3487.93,235.53,48.63
Bener Meriah,2018,20644.48,15347.14,3748.91,1484.69,54.48,9.26
Pidie Jaya,2018,20674.02,14339.63,6228.8,70.94,15.39,19.26
Kota Banda Aceh,2018,19687.49,18501.42,863.27,313.36,9.43,0.0
Kota Sabang,2018,14631.91,8743.88,2892.98,2968.53,13.37,13.15
Kota Langsa,2018,12781.71,10171.48,1776.97,808.34,9.8,15.11
Kota Lhokseumawe,2018,18041.53,15480.82,2302.89,236.39,21.42,0.0
Kota Subulussalam,2018,16893.47,15030.1,1542.75,242.88,28.82,48.92
Nias,2018,6522.59,3810.66,2043.76,111.6,347.26,209.32
Mandailing Natal,2018,20215.26,15358.28,2114.75,2501.65,223.67,16.9
Tapanuli Selatan,2018,17035.93,11551.44,4036.21,1164.36,161.45,122.47
Tapanuli Tengah,2018,15760.38,9895.05,4601.54,1065.47,138.26,60.05
Tapanuli Utara,2018,18593.48,11344.33,4017.33,2932.57,153.54,145.7
Toba Samosir,2018,19023.83,11667.98,4677.28,2519.87,145.67,13.03
Labuhan Batu,2018,20998.45,15691.96,2260.94,2965.88,54.19,25.48
Asahan,2018,17153.0,13809.79,1654.54,1655.69,25.82,7.15
Simalungun,2018,17039.98,10286.24,3130.45,2811.25,177.49,634.56
Dairi,2018,19832.31,13043.44,4525.17,1329.12,462.06,472.53
Karo,2018,30275.16,22236.76,1886.21,1433.79,2056.86,2661.55
Deli Serdang,2018,15675.32,13616.14,1100.04,887.66,26.72,44.75
Langkat,2018,16004.43,13100.43,1723.83,1123.8,12.6,43.76
Nias Selatan,2018,8890.75,5176.3,2484.77,86.25,193.17,950.26
Humbang Hasundutan,2018,16751.36,10616.1,3996.8,1850.41,273.75,14.3
Pakpak Bharat,2018,19076.54,14931.1,3400.0,282.06,367.19,96.2
Samosir,2018,19008.92,12271.3,5095.13,1069.1,168.98,404.41
Serdang Bedagai,2018,16463.84,13339.03,2001.33,1112.37,2.96,8.14
Batu Bara,2018,19026.16,12972.97,4978.4,1019.28,44.83,10.67
Padang Lawas Utara,2018,20757.21,15413.83,3126.01,1666.33,471.07,79.97
Padang Lawas,2018,22747.89,18600.49,2837.49,1043.76,261.57,4.56
Labuhan Batu Selatan,2018,18974.4,14848.62,2491.35,1598.48,31.49,4.46
Labuhan Batu Utara,2018,19049.0,15433.28,2887.85,703.27,24.59,0.0
Nias Utara,2018,7104.04,3944.44,2242.07,622.58,68.25,226.7
Nias Barat,2018,5867.32,2476.96,2019.25,568.43,97.18,705.5
Kota Sibolga,2018,16865.28,13280.18,2526.54,1034.63,13.3,10.63
Kota Tanjung Balai,2018,19600.67,16597.75,1424.84,1560.73,4.73,12.61
Kota Pematang Siantar,2018,16414.58,9043.28,2711.77,4618.38,11.46,29.7
