Tahun,Provinsi,Kabupaten/Kota,IPM,Persentase_Miskin
2018,Aceh,Simeulue,64.74,19.78
2018,Aceh,Aceh Singkil,68.02,21.25
2018,Aceh,Aceh Selatan,65.92,14.01
2018,Aceh,Aceh Tenggara,68.67,14.29
2018,Aceh,Aceh Timur,66.82,14.49
2018,Aceh,Aceh Tengah,72.64,15.58
2018,Aceh,Aceh Barat,70.47,19.31
2018,Aceh,Aceh Besar,72.73,14.47
2018,Aceh,Pidie,69.93,20.47
2018,Aceh,Bireuen,71.37,14.31
2018,Aceh,Aceh Utara,68.36,18.27
2018,Aceh,Aceh Barat Daya,65.67,17.1
2018,Aceh,Gayo Lues,65.88,20.7
2018,Aceh,Aceh Tamiang,68.45,14.21
2018,Aceh,Nagan Raya,68.15,18.97
2018,Aceh,Aceh Jaya,68.83,14.16
2018,Aceh,Bener Meriah,72.14,20.13
2018,Aceh,Pidie Jaya,72.12,20.17
2018,Aceh,Kota Banda Aceh,84.37,7.25
2018,Aceh,Kota Sabang,74.82,16.31
2018,Aceh,Kota Langsa,76.34,10.79
2018,Aceh,Kota Lhokseumawe,76.62,11.81
2018,Aceh,Kota Subulussalam,63.48,18.51
2018,Sumatera Utara,Nias,60.82,16.37
2018,Sumatera Utara,Mandailing Natal,65.83,9.58
2018,Sumatera Utara,Tapanuli Selatan,69.1,9.16
2018,Sumatera Utara,Tapanuli Tengah,68.27,13.17
2018,Sumatera Utara,Tapanuli Utara,72.91,9.75
2018,Sumatera Utara,Toba Samosir,74.48,8.67
2018,Sumatera Utara,Labuhan Batu,71.39,8.61
2018,Sumatera Utara,Asahan,69.49,10.25
2018,Sumatera Utara,Simalungun,72.49,9.31
2018,Sumatera Utara,Dairi,70.89,8.2
2018,Sumatera Utara,Karo,73.91,8.67
2018,Sumatera Utara,Deli Serdang,74.92,4.13
2018,Sumatera Utara,Langkat,70.27,10.2
2018,Sumatera Utara,Nias Selatan,60.75,16.65
2018,Sumatera Utara,Humbang Hasundutan,67.96,9.0
2018,Sumatera Utara,Pakpak Bharat,66.63,9.74
2018,Sumatera Utara,Samosir,69.99,13.38
2018,Sumatera Utara,Serdang Bedagai,69.69,8.22
2018,Sumatera Utara,Batu Bara,67.67,12.57
2018,Sumatera Utara,Padang Lawas Utara,68.77,10.06
